Carimbo de data/hora,Curso que você está cursando no IFPB – Campus Cajazeiras  ,Qual é sua faixa etária?,Em que etapa do curso você está atualmente?  ,"Antes de entrar no curso, você já tinha contato com programação ou tecnologia?  ",O curso de tecnologia foi sua primeira opção de curso?,Eu me sinto confortável estudando em um curso onde a maioria dos estudantes é do sexo masculino.  ,Em algum momento do curso já me senti deslocada ou isolada por ser mulher.,A presença de mais mulheres no curso tornaria o ambiente acadêmico mais acolhedor.  ,Sinto que professores e colegas tratam homens e mulheres de forma igual no curso.  ,Você já pensou em desistir do curso?  ,"Se sim,  Qual foi o principal motivo? ","Na sua opinião, quais são os principais desafios enfrentados por mulheres em cursos de tecnologia no IFPB?  ",O que poderia ser feito para incentivar mais mulheres a ingressar ou permanecer em cursos de tecnologia?
10/03/2026 22:57:40,Análise e Desenvolvimento de Sistemas,18–20,4º período ou mais,Sim,Sim,Concordo,Discordo,Concordo,Concordo,Não,,"Disciplinas que envolvem mais lógica, por não sermos incentivadas desde cedo para tarefas relacionadas a isso, por muitas vezes, dificulta nossa familiaridade e aprendizado. ","Fazer eventos e capacitações de inclusão feminina, tanto buscando o relacionamento interpessoal entre as meninas, quanto incluindo homens e mulheres para estarem em harmonia no mesmo ambiente e tarefas. Fazer uma junção de pessoas da mesma área, independente se é homem ou mulher."
10/03/2026 23:20:06,Análise e Desenvolvimento de Sistemas,21–25,4º período ou mais,Sim,Sim,Discordo,Concordo,Concordo totalmente,Neutro,Sim,"Dificuldade nas disciplinas, Falta de apoio, Falta de identificação com a área","A falta de credibilidade e a síndrome da impostora, de achar que não é boa o suficiente ","Incentivos para permanecia da meninas com fomentos, bolsas, palestras, projetos e um acolhimento maior"
11/03/2026 00:05:40,Análise e Desenvolvimento de Sistemas,18–20,1º ano/período,Não,Sim,Discordo,Concordo,Concordo,Neutro,Não,,"Machismo; sentimento de ""deslocamento"" consequentemte pelos cursos serem formados majoritariamente por homens; a falta de representatividade de mulheres no curso, que traz o sentimento de isolamento; e medo de ser violentada, assediada ou pior.","Deveria ser introduzido, pelas instituições de ensino na educação básica do fundamental ou médio, incentivos como: introduzir aulas interativas com programação, robótica, olimpíadas escolares. Projetos de extensão da própria faculdade que foquem em ir para outras escolas e apresentar esses incentivos para áreas de tecnologia de forma igualitaria, para quebra o exteriótipo de que apenas os homens podem atuar nas áreas de TI.A construção de um ambiente seguro para mulheres na universidade, organização de eventos e palestras."
11/03/2026 06:07:01,Análise e Desenvolvimento de Sistemas,18–20,4º período ou mais,Não,Não,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Sim,Falta de identificação com a área,"A minúscula proporção de mulheres nessa área, a bagunça dentro das salas de aula já que os garotos sempre só conversam enquanto o professor tentam ensinar ",Mostra mulheres famosas na história que criaram tecnologias e trazer um pouco mais de diversidade pra área como contratar mais professoras e ter mais do que só branco de professor já que os empregos voltados a tecnologia não tem quase nenhum profissional que seja mulher ou que são de outra etnia que não seja branca
11/03/2026 06:58:45,Análise e Desenvolvimento de Sistemas,18–20,1º ano/período,Sim,Não,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não,,"O sentimento de que é incapaz por ser mulher em um curso de """"homem""""","Palestras, testemunho de outras mulheres no curso e com certeza mais atividades mostrando representatividade "
11/03/2026 13:01:17,Análise e Desenvolvimento de Sistemas,21–25,2º ano/período,Sim,Não,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Não,,"O principal desafio é o de pertencimento, está em um curso que a maioria é do sexo masculino , considero uma das principais barreiras , também me questiono o motivo de pouquíssimas mulheres aderirem ao curso . ","Mais palestras , mostrar a importância da mulher na área de tecnologia. "
11/03/2026 13:50:29,Informática (Técnico Integrado),,1º ano/período,Sim,Não,Concordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Sim,Questões pessoais,A falta de representação feminina…,Incentivo desde o ensino fundamental e médio.
11/03/2026 13:50:44,Informática (Técnico Integrado),Até 17 anos,2º ano/período,Não,Sim,Neutro,Concordo,Concordo,Concordo,Sim,"Dificuldade nas disciplinas, Falta de identificação com a área","Como no próprio questionário diz, é uma área masculina porém de livre ambiente para as mulheres tbm",Não sei 
11/03/2026 13:51:17,Informática (Técnico Integrado),Até 17 anos,2º ano/período,Não,Sim,Neutro,Discordo,Concordo,Concordo totalmente,Não,,"Em sua maioria o curso está ligado a figura masculina, muitas mulheres tem potencial para a área da informática mas a maioria não é incentivada pela ligação da figura masculina ","Fazer cursos da área voltada ao público feminino, palestras sobre o assunto, etc."
11/03/2026 13:53:20,Informática (Técnico Integrado),Até 17 anos,2º ano/período,Não,Sim,Neutro,Discordo,Concordo,Concordo,Não,,"Creio que seja o fato de ser um ambiente em que a maioria seja composta por homens, e que a realidade é que a área da informática ainda é pouco ocupada por mulheres.",Incentivar a participação 
